Amount requested,Day,Month,Year
630074,27,2,2008
624850,28,2,2008
470350,29,2,2008
443800,1,3,2008
731495,2,3,2008
894850,3,3,2008
901725,4,3,2008
846762,5,3,2008
594400,6,3,2008
710403,7,3,2008
432500,8,3,2008
702275,9,3,2008
1105200,10,3,2008
888860,11,3,2008
824850,12,3,2008
1059425,13,3,2008
915100,14,3,2008
805996,15,3,2008
651812,16,3,2008
737000,17,3,2008
911600,18,3,2008
1151543,19,3,2008
998450,20,3,2008
3149650,21,3,2008
1662050,22,3,2008
1128235,23,3,2008
2095250,24,3,2008
1556750,25,3,2008
1456117,26,3,2008
729750,27,3,2008
773025,28,3,2008
475600,29,3,2008
655050,30,3,2008
587000,31,3,2008
656500,1,4,2008
812150,2,4,2008
571525,3,4,2008
555275,4,4,2008
3534950,5,4,2008
2756325,6,4,2008
6653825,7,4,2008
858850,8,4,2008
582675,9,4,2008
418250,10,4,2008
296700,11,4,2008
163500,12,4,2008
236775,13,4,2008
245350,14,4,2008
442950,15,4,2008
299950,16,4,2008
269250,17,4,2008
212700,18,4,2008
161700,19,4,2008
189925,20,4,2008
261200,21,4,2008
279675,22,4,2008
308450,23,4,2008
339125,24,4,2008
281100,25,4,2008
209400,26,4,2008
307000,27,4,2008
378200,28,4,2008
362750,29,4,2008
228200,30,4,2008
281350,1,5,2008
220700,2,5,2008
183230,3,5,2008
166200,4,5,2008
288275,5,5,2008
327300,6,5,2008
209800,7,5,2008
193700,8,5,2008
107600,9,5,2008
153100,10,5,2008
207425,11,5,2008
198100,12,5,2008
209300,13,5,2008
214800,14,5,2008
174850,15,5,2008
147599,16,5,2008
98000,17,5,2008
137888,18,5,2008
181475,19,5,2008
221325,20,5,2008
199400,21,5,2008
222650,22,5,2008
203300,23,5,2008
99225,24,5,2008
134200,25,5,2008
175950,26,5,2008
193100,27,5,2008
206200,28,5,2008
225100,29,5,2008
222100,30,5,2008
176078,31,5,2008
165975,1,6,2008
205500,2,6,2008
286866,3,6,2008
258950,4,6,2008
210700,5,6,2008
208550,6,6,2008
138750,7,6,2008
134200,8,6,2008
347500,9,6,2008
265750,10,6,2008
239200,11,6,2008
235900,12,6,2008
224900,13,6,2008
104950,14,6,2008
144900,15,6,2008
319500,16,6,2008
304550,17,6,2008
255550,18,6,2008
285600,19,6,2008
301350,20,6,2008
215725,21,6,2008
234620,22,6,2008
259850,23,6,2008
391995,24,6,2008
268350,25,6,2008
317400,26,6,2008
216150,27,6,2008
77350,28,6,2008
133000,29,6,2008
162975,30,6,2008
152300,1,7,2008
177525,2,7,2008
159200,3,7,2008
123850,4,7,2008
133000,5,7,2008
148300,6,7,2008
168950,7,7,2008
186650,8,7,2008
245700,9,7,2008
421000,10,7,2008
381125,11,7,2008
180700,12,7,2008
279800,13,7,2008
383495,14,7,2008
418300,15,7,2008
244300,16,7,2008
358475,17,7,2008
306200,18,7,2008
149900,19,7,2008
273300,20,7,2008
354500,21,7,2008
267500,22,7,2008
165375,23,7,2008
255000,24,7,2008
148400,25,7,2008
85200,26,7,2008
124600,27,7,2008
235400,28,7,2008
181050,29,7,2008
